pdid,incidntnum,incident_code,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,:@computed_region_26cr_cadq,:@computed_region_rxqg_mtj9,:@computed_region_bh8s_q3mv,location.type,location.coordinates,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_ajp5_b2md,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_fyvs_ahh9,:@computed_region_6pnf_4xz7,:@computed_region_jwn9_ihcz,:@computed_region_9dfj_4gjx,:@computed_region_4isq_27mq,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_n4xg_c4py,:@computed_region_fcz8_est8,:@computed_region_nqbw_i6c3,:@computed_region_2dwj_jsy4,anomaly
5118535807021,51185358,7021,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,2005-10-18T00:00:00.000,20:00,PARK,NONE,TURK ST / STJOSEPHS AV,-120.50000000000001,90.0,,,,Point,"[-120.50000000000001, 90]",,,,,,,,,,,,,,,,,,,-1
4018830907021,40188309,7021,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,2004-02-15T00:00:00.000,02:00,SOUTHERN,NONE,BRANNAN ST / 1ST ST,-120.50000000000001,90.0,,,,Point,"[-120.50000000000001, 90]",,,,,,,,,,,,,,,,,,,-1
5134166327195,51341663,27195,TRESPASS,TRESPASSING,Monday,2005-11-28T00:00:00.000,16:04,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / 5THSTNORTH ST,-120.50000000000001,90.0,,,,Point,"[-120.50000000000001, 90]",,,,,,,,,,,,,,,,,,,-1
11066349975000,110663499,75000,MISSING PERSON,FOUND PERSON,Thursday,2011-08-18T00:00:00.000,10:30,TARAVAL,LOCATED,2300 Block of 47TH AV,-122.505825184185,37.7426348151432,7.0,3.0,29491.0,Point,"[-122.505825184185, 37.7426348151432]",39.0,10.0,35.0,1.0,8.0,35.0,1.0,39.0,,,,,,,,,,,-1
6101857306243,61018573,6243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,2006-02-23T00:00:00.000,14:15,TARAVAL,NONE,ORTEGA ST / 39TH AV,-122.497769847193,37.7514238836408,7.0,3.0,29491.0,Point,"[-122.497769847193, 37.7514238836408]",39.0,10.0,35.0,1.0,8.0,35.0,1.0,39.0,,,,,,,,,,,-1
6124723305041,61247233,5041,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,2006-11-21T00:00:00.000,17:00,TARAVAL,NONE,2100 Block of GREAT HWY,-122.50749756538798,37.7463080639539,7.0,3.0,29491.0,Point,"[-122.50749756538798, 37.7463080639539]",39.0,10.0,35.0,1.0,8.0,35.0,1.0,39.0,,,,,,,,,,,-1
13617812906372,136178129,6372,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,2013-09-25T00:00:00.000,22:00,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239,10.0,9.0,62.0,Point,"[-122.365565425353, 37.8096707013239]",35.0,1.0,37.0,,2.0,37.0,2.0,35.0,,,,,,,,,,,-1
4018830907041,40188309,7041,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,2004-02-15T00:00:00.000,02:00,SOUTHERN,NONE,BRANNAN ST / 1ST ST,-120.50000000000001,90.0,,,,Point,"[-120.50000000000001, 90]",,,,,,,,,,,,,,,,,,,-1
6052363828135,60523638,28135,OTHER OFFENSES,HARASSING PHONE CALLS,Wednesday,2006-05-17T00:00:00.000,09:00,TARAVAL,NONE,1500 Block of 43RD AV,-122.50244575498898,37.7577525400824,7.0,3.0,56.0,Point,"[-122.50244575498898, 37.7577525400824]",39.0,10.0,35.0,1.0,8.0,35.0,1.0,39.0,,,,,,,,,,,-1
13064413416650,130644134,16650,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,2013-08-04T00:00:00.000,21:47,TARAVAL,"ARREST, BOOKED",1300 Block of 46TH AV,-122.505923256341,37.761339931633,7.0,3.0,56.0,Point,"[-122.505923256341, 37.761339931633]",39.0,10.0,35.0,1.0,8.0,35.0,1.0,39.0,,,,,,,,,,,-1
